exp_id,video file,resolution,FPS,length(s),sim_threshold,face_cnt,min_csize,face_cloth_weights,use_merging,number of persons,total time(s),DBI
exp0184,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.5]",True,4,41.989,2.7924444877672485
exp0185,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.5]",False,9,39.736,1.506490238234414
exp0186,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.6]",True,6,41.222,2.2823977382927776
exp0187,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.6]",False,10,41.354,1.5645358155306597
exp0188,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.7]",True,6,41.455,2.135730299376501
exp0189,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.7]",False,10,40.905,1.5998799763479947
exp0190,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.8]",True,7,40.861,1.856969181682404
exp0191,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.8]",False,10,41.053,1.6139870123044475
exp0192,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.9]",True,6,41.774,1.8207303910755528
exp0193,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.9]",False,8,42.096,1.7020865070258395
exp0194,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 1.0]",True,6,43.017,1.835033709997048
exp0195,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 1.0]",False,7,41.871,1.830556207045568
exp0196,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.3]",True,1,40.213,-10000000000.0
exp0197,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.3]",False,9,40.309,1.4462362655778151
exp0198,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.5]",True,4,40.907,2.510832551052869
exp0199,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.5]",False,8,40.53,1.5512933742576425
exp0200,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.6]",True,6,40.493,2.2221539738013534
exp0201,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.6]",False,9,40.443,1.5588123471696378
exp0202,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.7]",True,6,40.653,2.080055851388418
exp0203,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.7]",False,9,40.174,1.6086894550367
exp0204,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,10,"[1.0, 0.8]",True,6,40.074,1.8711197276717308
